ref,pin,net,part,note
U2,15,GND,TI BQ25505,"VSTOR (19) is the load rail; the cell sits on VBAT_SEC (18). The brief says 'BQ25505 VBAT <-> cell' but the part has no pin called VBAT — this is TI's own topology, Figure 16."
U2,16,GND,TI BQ25505,"VSTOR (19) is the load rail; the cell sits on VBAT_SEC (18). The brief says 'BQ25505 VBAT <-> cell' but the part has no pin called VBAT — this is TI's own topology, Figure 16."
U2,17,GND,TI BQ25505,"VSTOR (19) is the load rail; the cell sits on VBAT_SEC (18). The brief says 'BQ25505 VBAT <-> cell' but the part has no pin called VBAT — this is TI's own topology, Figure 16."
U2,18,VBAT,TI BQ25505,"VSTOR (19) is the load rail; the cell sits on VBAT_SEC (18). The brief says 'BQ25505 VBAT <-> cell' but the part has no pin called VBAT — this is TI's own topology, Figure 16."
U2,19,VSTOR,TI BQ25505,"VSTOR (19) is the load rail; the cell sits on VBAT_SEC (18). The brief says 'BQ25505 VBAT <-> cell' but the part has no pin called VBAT — this is TI's own topology, Figure 16."
U2,20,LX,TI BQ25505,"VSTOR (19) is the load rail; the cell sits on VBAT_SEC (18). The brief says 'BQ25505 VBAT <-> cell' but the part has no pin called VBAT — this is TI's own topology, Figure 16."
U2,21,GND,TI BQ25505,"VSTOR (19) is the load rail; the cell sits on VBAT_SEC (18). The brief says 'BQ25505 VBAT <-> cell' but the part has no pin called VBAT — this is TI's own topology, Figure 16."
U3,1,SENSOR_3V3,TI TPS7A2033 3.3 V LDO (sensor rail),Always on. Feeds the ZW0905's 10 uA standby rail.
U3,2,GND,TI TPS7A2033 3.3 V LDO (sensor rail),Always on. Feeds the ZW0905's 10 uA standby rail.
U3,3,VSTOR,TI TPS7A2033 3.3 V LDO (sensor rail),Always on. Feeds the ZW0905's 10 uA standby rail.
U3,4,VSTOR,TI TPS7A2033 3.3 V LDO (sensor rail),Always on. Feeds the ZW0905's 10 uA standby rail.
U3,5,GND,TI TPS7A2033 3.3 V LDO (sensor rail),Always on. Feeds the ZW0905's 10 uA standby rail.
U4,1,SENSOR_MCU_3V3,TI TPS7A2033 3.3 V LDO (switched sensor-MCU rail),"Fed from VSTOR rather than cascaded off SENSOR_3V3: cascading would leave no headroom, and this also keeps the sensor's 25 mA scan current off the always-on standby rail."
U4,2,GND,TI TPS7A2033 3.3 V LDO (switched sensor-MCU rail),"Fed from VSTOR rather than cascaded off SENSOR_3V3: cascading would leave no headroom, and this also keeps the sensor's 25 mA scan current off the always-on standby rail."
U4,3,SENSOR_SW_EN,TI TPS7A2033 3.3 V LDO (switched sensor-MCU rail),"Fed from VSTOR rather than cascaded off SENSOR_3V3: cascading would leave no headroom, and this also keeps the sensor's 25 mA scan current off the always-on standby rail."
U4,4,VSTOR,TI TPS7A2033 3.3 V LDO (switched sensor-MCU rail),"Fed from VSTOR rather than cascaded off SENSOR_3V3: cascading would leave no headroom, and this also keeps the sensor's 25 mA scan current off the always-on standby rail."
U4,5,GND,TI TPS7A2033 3.3 V LDO (switched sensor-MCU rail),"Fed from VSTOR rather than cascaded off SENSOR_3V3: cascading would leave no headroom, and this also keeps the sensor's 25 mA scan current off the always-on standby rail."
U5,1,CELL_NEG,"Mitsumi MC3651DF1AAM cell protection, PLP-4E","Over-charge 4.280 V, over-discharge 2.700 V, discharge over-current 0.315 A. NOTE: the '2.2x the cell's 140 mA rating' that justified this part was the VARTA CP1254's number, carried over when the cell changed. The LPM1254 datasheet says 30 mA max continuous (65 mA on the catalogue page for the 65 mAh variant), so 0.315 A is 10.5x / 4.8x, not 2.2x -- CONFIRM the figure for the variant ordered. No PCM IC trips near 66 mA, so none guards this cell's CONTINUOUS rating; they guard against shorts. Still beats the AP6683's 0.9 A. Iq 3.0 uA typ / 4.5 max = 6.7 % of the 4.0 mWh/day budget. Digi-Key 2508-MC3651DF1AAMCT-ND, US$1.33 at qty 1."
U5,2,PCM_VDD,"Mitsumi MC3651DF1AAM cell protection, PLP-4E","Over-charge 4.280 V, over-discharge 2.700 V, discharge over-current 0.315 A. NOTE: the '2.2x the cell's 140 mA rating' that justified this part was the VARTA CP1254's number, carried over when the cell changed. The LPM1254 datasheet says 30 mA max continuous (65 mA on the catalogue page for the 65 mAh variant), so 0.315 A is 10.5x / 4.8x, not 2.2x -- CONFIRM the figure for the variant ordered. No PCM IC trips near 66 mA, so none guards this cell's CONTINUOUS rating; they guard against shorts. Still beats the AP6683's 0.9 A. Iq 3.0 uA typ / 4.5 max = 6.7 % of the 4.0 mWh/day budget. Digi-Key 2508-MC3651DF1AAMCT-ND, US$1.33 at qty 1."
U5,3,PCM_VM,"Mitsumi MC3651DF1AAM cell protection, PLP-4E","Over-charge 4.280 V, over-discharge 2.700 V, discharge over-current 0.315 A. NOTE: the '2.2x the cell's 140 mA rating' that justified this part was the VARTA CP1254's number, carried over when the cell changed. The LPM1254 datasheet says 30 mA max continuous (65 mA on the catalogue page for the 65 mAh variant), so 0.315 A is 10.5x / 4.8x, not 2.2x -- CONFIRM the figure for the variant ordered. No PCM IC trips near 66 mA, so none guards this cell's CONTINUOUS rating; they guard against shorts. Still beats the AP6683's 0.9 A. Iq 3.0 uA typ / 4.5 max = 6.7 % of the 4.0 mWh/day budget. Digi-Key 2508-MC3651DF1AAMCT-ND, US$1.33 at qty 1."
U5,4,GND,"Mitsumi MC3651DF1AAM cell protection, PLP-4E","Over-charge 4.280 V, over-discharge 2.700 V, discharge over-current 0.315 A. NOTE: the '2.2x the cell's 140 mA rating' that justified this part was the VARTA CP1254's number, carried over when the cell changed. The LPM1254 datasheet says 30 mA max continuous (65 mA on the catalogue page for the 65 mAh variant), so 0.315 A is 10.5x / 4.8x, not 2.2x -- CONFIRM the figure for the variant ordered. No PCM IC trips near 66 mA, so none guards this cell's CONTINUOUS rating; they guard against shorts. Still beats the AP6683's 0.9 A. Iq 3.0 uA typ / 4.5 max = 6.7 % of the 4.0 mWh/day budget. Digi-Key 2508-MC3651DF1AAMCT-ND, US$1.33 at qty 1."
U5,5,NC,"Mitsumi MC3651DF1AAM cell protection, PLP-4E","Over-charge 4.280 V, over-discharge 2.700 V, discharge over-current 0.315 A. NOTE: the '2.2x the cell's 140 mA rating' that justified this part was the VARTA CP1254's number, carried over when the cell changed. The LPM1254 datasheet says 30 mA max continuous (65 mA on the catalogue page for the 65 mAh variant), so 0.315 A is 10.5x / 4.8x, not 2.2x -- CONFIRM the figure for the variant ordered. No PCM IC trips near 66 mA, so none guards this cell's CONTINUOUS rating; they guard against shorts. Still beats the AP6683's 0.9 A. Iq 3.0 uA typ / 4.5 max = 6.7 % of the 4.0 mWh/day budget. Digi-Key 2508-MC3651DF1AAMCT-ND, US$1.33 at qty 1."
